timestamp,app,direction,protocol,src_ip,dst_ip,sport,dport,pkt_len,ip_ttl,tcp_flags,tcp_window,payload_len,inter_arrival_ms,flow_id
1777297840.424561,spotify,in,TCP,192.168.83.5,95.101.61.22,63942,443,41,128,16,1023,1,0.0,192.168.83.5:63942-95.101.61.22:443-TCP
1777297840.426447,spotify,in,TCP,95.101.61.22,192.168.83.5,443,63942,52,56,16,555,0,1.886,192.168.83.5:63942-95.101.61.22:443-TCP
1777297840.427052,spotify,in,TCP,192.168.83.5,95.101.61.22,62238,443,41,128,16,255,1,0.0,192.168.83.5:62238-95.101.61.22:443-TCP
1777297840.427578,spotify,in,TCP,95.101.61.22,192.168.83.5,443,62238,52,56,16,501,0,0.527,192.168.83.5:62238-95.101.61.22:443-TCP
1777297840.428523,spotify,in,UDP,192.168.83.5,192.168.81.40,5353,5353,83,128,0,0,55,0.0,192.168.81.40:5353-192.168.83.5:5353-UDP
1777297840.429556,spotify,in,TCP,192.168.83.5,35.186.224.34,65309,443,83,128,24,253,43,0.0,192.168.83.5:65309-35.186.224.34:443-TCP
1777297840.43019,spotify,in,TCP,35.186.224.34,192.168.83.5,443,65309,80,120,24,1043,40,0.634,192.168.83.5:65309-35.186.224.34:443-TCP
1777297840.430715,spotify,in,TCP,192.168.83.5,35.186.224.34,65309,443,40,128,16,253,0,0.525,192.168.83.5:65309-35.186.224.34:443-TCP
1777297840.431686,spotify,in,UDP,192.168.83.5,192.168.87.52,5353,5353,83,128,0,0,55,0.0,192.168.83.5:5353-192.168.87.52:5353-UDP
1777297840.432533,spotify,in,UDP,192.168.83.5,192.168.80.182,5353,5353,83,128,0,0,55,0.0,192.168.80.182:5353-192.168.83.5:5353-UDP
1777297840.432947,spotify,in,TCP,192.168.83.5,199.232.18.250,60790,443,41,128,16,511,1,0.0,192.168.83.5:60790-199.232.18.250:443-TCP
1777297840.433233,spotify,in,TCP,199.232.18.250,192.168.83.5,443,60790,52,55,16,282,0,0.287,192.168.83.5:60790-199.232.18.250:443-TCP
1777297840.43351,spotify,in,TCP,192.168.83.5,35.186.224.34,56861,443,68,128,24,253,28,0.0,192.168.83.5:56861-35.186.224.34:443-TCP
1777297840.433788,spotify,in,TCP,35.186.224.34,192.168.83.5,443,56861,46,120,16,1049,6,0.277,192.168.83.5:56861-35.186.224.34:443-TCP
1777297840.434265,spotify,in,TCP,192.168.83.5,95.101.61.6,61943,443,41,128,16,8191,1,0.0,192.168.83.5:61943-95.101.61.6:443-TCP
1777297840.434645,spotify,in,TCP,95.101.61.6,192.168.83.5,443,61943,52,56,16,493,0,0.38,192.168.83.5:61943-95.101.61.6:443-TCP
1777297840.434974,spotify,in,TCP,192.168.83.5,142.250.147.188,64469,5228,41,128,16,253,1,0.0,142.250.147.188:5228-192.168.83.5:64469-TCP
1777297840.435496,spotify,in,TCP,142.250.147.188,192.168.83.5,5228,64469,52,120,16,1046,0,0.521,142.250.147.188:5228-192.168.83.5:64469-TCP
1777297840.436042,spotify,in,TCP,95.101.61.22,192.168.83.5,443,63942,64,56,24,555,24,9.595,192.168.83.5:63942-95.101.61.22:443-TCP
1777297840.436586,spotify,in,TCP,95.101.61.22,192.168.83.5,443,63942,46,56,17,555,6,0.545,192.168.83.5:63942-95.101.61.22:443-TCP
1777297840.437236,spotify,in,TCP,192.168.83.5,95.101.61.22,63942,443,40,128,16,1023,0,0.65,192.168.83.5:63942-95.101.61.22:443-TCP
1777297840.437733,spotify,in,TCP,192.168.83.5,95.101.61.22,63942,443,40,128,17,1023,0,0.497,192.168.83.5:63942-95.101.61.22:443-TCP
1777297840.438345,spotify,in,TCP,95.101.61.22,192.168.83.5,443,63942,46,56,16,555,6,0.612,192.168.83.5:63942-95.101.61.22:443-TCP
1777297840.438976,spotify,in,TCP,95.101.61.22,192.168.83.5,443,62238,64,56,24,501,24,11.398,192.168.83.5:62238-95.101.61.22:443-TCP
1777297840.439321,spotify,in,TCP,95.101.61.22,192.168.83.5,443,62238,46,56,17,501,6,0.345,192.168.83.5:62238-95.101.61.22:443-TCP
