timestamp,app,direction,protocol,src_ip,dst_ip,sport,dport,pkt_len,ip_ttl,tcp_flags,tcp_window,payload_len,inter_arrival_ms,flow_id
1777297842.871791,traffic,in,UDP,10.129.9.167,149.156.96.8,60825,53,78,128,0,0,50,0.0,10.129.9.167:60825-149.156.96.8:53-UDP
1777297842.872694,traffic,in,UDP,10.129.9.167,149.156.96.8,49664,53,78,128,0,0,50,0.0,10.129.9.167:49664-149.156.96.8:53-UDP
1777297842.873447,traffic,in,UDP,149.156.96.8,10.129.9.167,53,49664,265,61,0,0,237,0.753,10.129.9.167:49664-149.156.96.8:53-UDP
1777297842.874083,traffic,in,UDP,149.156.96.8,10.129.9.167,53,60825,204,61,0,0,176,2.292,10.129.9.167:60825-149.156.96.8:53-UDP
1777297842.874283,traffic,in,TCP,10.129.9.167,104.208.16.90,63433,443,52,128,2,65535,0,0.0,10.129.9.167:63433-104.208.16.90:443-TCP
1777297842.874643,traffic,in,TCP,104.208.16.90,10.129.9.167,443,63433,52,101,18,65535,0,0.36,10.129.9.167:63433-104.208.16.90:443-TCP
1777297842.874982,traffic,in,TCP,10.129.9.167,104.208.16.90,63433,443,40,128,16,255,0,0.339,10.129.9.167:63433-104.208.16.90:443-TCP
1777297842.875339,traffic,in,TCP,10.129.9.167,104.208.16.90,63433,443,557,128,24,255,517,0.357,10.129.9.167:63433-104.208.16.90:443-TCP
1777297842.875682,traffic,in,TCP,104.208.16.90,10.129.9.167,443,63433,40,101,16,4062,0,0.343,10.129.9.167:63433-104.208.16.90:443-TCP
1777297842.875962,traffic,in,TCP,104.208.16.90,10.129.9.167,443,63433,139,101,24,16384,99,0.281,10.129.9.167:63433-104.208.16.90:443-TCP
1777297842.876296,traffic,in,TCP,10.129.9.167,104.208.16.90,63433,443,477,128,24,255,437,0.334,10.129.9.167:63433-104.208.16.90:443-TCP
1777297842.876558,traffic,in,TCP,10.129.9.167,52.182.143.214,62841,443,153,128,24,255,113,0.0,10.129.9.167:62841-52.182.143.214:443-TCP
1777297842.876857,traffic,in,TCP,10.129.9.167,52.182.143.214,62841,443,79,128,24,255,39,0.299,10.129.9.167:62841-52.182.143.214:443-TCP
1777297842.877093,traffic,in,TCP,10.129.9.167,52.182.143.214,62841,443,1290,128,16,255,1250,0.236,10.129.9.167:62841-52.182.143.214:443-TCP
1777297842.877289,traffic,in,TCP,10.129.9.167,52.182.143.214,62841,443,1290,128,16,255,1250,0.197,10.129.9.167:62841-52.182.143.214:443-TCP
1777297842.877467,traffic,in,TCP,10.129.9.167,52.182.143.214,62841,443,81,128,24,255,41,0.177,10.129.9.167:62841-52.182.143.214:443-TCP
1777297842.8777,traffic,in,TCP,104.208.16.90,10.129.9.167,443,63433,3790,101,16,16382,3750,1.404,10.129.9.167:63433-104.208.16.90:443-TCP
1777297842.877894,traffic,in,TCP,104.208.16.90,10.129.9.167,443,63433,781,101,24,16382,741,0.194,10.129.9.167:63433-104.208.16.90:443-TCP
1777297842.878047,traffic,in,TCP,10.129.9.167,104.208.16.90,63433,443,40,128,16,255,0,0.153,10.129.9.167:63433-104.208.16.90:443-TCP
1777297842.878235,traffic,in,TCP,10.129.9.167,104.208.16.90,63433,443,1290,128,16,255,1250,0.188,10.129.9.167:63433-104.208.16.90:443-TCP
1777297842.878411,traffic,in,TCP,10.129.9.167,104.208.16.90,63433,443,1290,128,16,255,1250,0.177,10.129.9.167:63433-104.208.16.90:443-TCP
1777297842.878592,traffic,in,TCP,10.129.9.167,104.208.16.90,63433,443,1101,128,24,255,1061,0.181,10.129.9.167:63433-104.208.16.90:443-TCP
1777297842.878746,traffic,in,TCP,52.182.143.214,10.129.9.167,443,62841,40,99,16,16385,0,1.279,10.129.9.167:62841-52.182.143.214:443-TCP
1777297842.878904,traffic,in,TCP,52.182.143.214,10.129.9.167,443,62841,40,99,16,16386,0,0.158,10.129.9.167:62841-52.182.143.214:443-TCP
1777297842.8791,traffic,in,TCP,52.182.143.214,10.129.9.167,443,62841,79,99,24,16386,39,0.196,10.129.9.167:62841-52.182.143.214:443-TCP
1777297842.879249,traffic,in,TCP,104.208.16.90,10.129.9.167,443,63433,40,101,16,16386,0,0.657,10.129.9.167:63433-104.208.16.90:443-TCP
1777297842.879416,traffic,in,TCP,104.208.16.90,10.129.9.167,443,63433,143,101,24,16386,103,0.167,10.129.9.167:63433-104.208.16.90:443-TCP
1777297842.879562,traffic,in,TCP,10.129.9.167,52.182.143.214,62841,443,40,128,16,255,0,0.462,10.129.9.167:62841-52.182.143.214:443-TCP
1777297842.879753,traffic,in,TCP,10.129.9.167,104.208.16.90,63433,443,40,128,16,255,0,0.337,10.129.9.167:63433-104.208.16.90:443-TCP
1777297842.880034,traffic,in,TCP,52.182.143.214,10.129.9.167,443,62841,134,99,24,16386,94,0.471,10.129.9.167:62841-52.182.143.214:443-TCP
1777297842.880319,traffic,in,TCP,10.129.9.167,52.182.143.214,62841,443,75,128,24,254,35,0.285,10.129.9.167:62841-52.182.143.214:443-TCP
1777297842.88053,traffic,in,TCP,104.208.16.90,10.129.9.167,443,63433,506,101,25,16386,466,0.777,10.129.9.167:63433-104.208.16.90:443-TCP
1777297842.880685,traffic,in,TCP,10.129.9.167,104.208.16.90,63433,443,40,128,16,253,0,0.155,10.129.9.167:63433-104.208.16.90:443-TCP
1777297842.88086,traffic,in,TCP,10.129.9.167,104.208.16.90,63433,443,64,128,24,253,24,0.175,10.129.9.167:63433-104.208.16.90:443-TCP
1777297842.88102,traffic,in,TCP,10.129.9.167,104.208.16.90,63433,443,40,128,17,253,0,0.16,10.129.9.167:63433-104.208.16.90:443-TCP
1777297842.881368,traffic,in,UDP,10.129.9.167,149.156.96.8,49664,53,74,128,0,0,46,7.921,10.129.9.167:49664-149.156.96.8:53-UDP
1777297842.881636,traffic,in,UDP,10.129.9.167,149.156.96.8,60825,53,74,128,0,0,46,7.553,10.129.9.167:60825-149.156.96.8:53-UDP
1777297842.883105,traffic,in,UDP,149.156.96.8,10.129.9.167,53,49664,510,61,0,0,482,1.737,10.129.9.167:49664-149.156.96.8:53-UDP
1777297842.885061,traffic,in,UDP,149.156.96.8,10.129.9.167,53,60825,494,61,0,0,466,3.425,10.129.9.167:60825-149.156.96.8:53-UDP
1777297842.885346,traffic,in,TCP,10.129.9.167,149.156.96.8,59405,53,52,128,2,65535,0,0.0,10.129.9.167:59405-149.156.96.8:53-TCP
1777297842.885536,traffic,in,TCP,149.156.96.8,10.129.9.167,53,59405,52,61,18,64240,0,0.19,10.129.9.167:59405-149.156.96.8:53-TCP
1777297842.886614,traffic,in,TCP,10.129.9.167,149.156.96.8,59405,53,40,128,16,255,0,1.078,10.129.9.167:59405-149.156.96.8:53-TCP
1777297842.887178,traffic,in,TCP,10.129.9.167,149.156.96.8,59405,53,88,128,24,255,48,0.565,10.129.9.167:59405-149.156.96.8:53-TCP
1777297842.887454,traffic,in,TCP,149.156.96.8,10.129.9.167,53,59405,40,61,16,502,0,0.276,10.129.9.167:59405-149.156.96.8:53-TCP
1777297842.889792,traffic,in,TCP,149.156.96.8,10.129.9.167,53,59405,585,61,24,502,545,2.338,10.129.9.167:59405-149.156.96.8:53-TCP
1777297842.89027,traffic,in,TCP,10.129.9.167,149.156.96.8,59405,53,40,128,17,253,0,0.478,10.129.9.167:59405-149.156.96.8:53-TCP
1777297842.890572,traffic,in,TCP,149.156.96.8,10.129.9.167,53,59405,40,61,17,502,0,0.301,10.129.9.167:59405-149.156.96.8:53-TCP
1777297842.890795,traffic,in,TCP,10.129.9.167,149.156.96.8,59405,53,40,128,16,253,0,0.224,10.129.9.167:59405-149.156.96.8:53-TCP
1777297842.890988,traffic,in,TCP,10.129.9.167,20.50.88.238,59406,443,52,128,2,65535,0,0.0,10.129.9.167:59406-20.50.88.238:443-TCP
1777297842.891171,traffic,in,TCP,104.208.16.90,10.129.9.167,443,63433,40,101,16,16386,0,10.15,10.129.9.167:63433-104.208.16.90:443-TCP
1777297842.891398,traffic,in,TCP,20.50.88.238,10.129.9.167,443,59406,52,106,18,65535,0,0.411,10.129.9.167:59406-20.50.88.238:443-TCP
1777297842.891669,traffic,in,TCP,10.129.9.167,20.50.88.238,59406,443,40,128,16,255,0,0.27,10.129.9.167:59406-20.50.88.238:443-TCP
1777297842.891948,traffic,in,TCP,10.129.9.167,20.50.88.238,59406,443,495,128,24,255,455,0.279,10.129.9.167:59406-20.50.88.238:443-TCP
1777297842.89212,traffic,in,TCP,52.182.143.214,10.129.9.167,443,62841,40,99,16,16386,0,11.801,10.129.9.167:62841-52.182.143.214:443-TCP
1777297842.892337,traffic,in,TCP,20.50.88.238,10.129.9.167,443,59406,3790,106,16,16384,3750,0.389,10.129.9.167:59406-20.50.88.238:443-TCP
1777297842.892545,traffic,in,TCP,20.50.88.238,10.129.9.167,443,59406,706,106,24,16384,666,0.208,10.129.9.167:59406-20.50.88.238:443-TCP
1777297842.892709,traffic,in,TCP,10.129.9.167,20.50.88.238,59406,443,40,128,16,255,0,0.164,10.129.9.167:59406-20.50.88.238:443-TCP
1777297842.892945,traffic,in,TCP,10.129.9.167,20.50.88.238,59406,443,120,128,24,255,80,0.236,10.129.9.167:59406-20.50.88.238:443-TCP
1777297842.893815,traffic,in,TCP,10.129.9.167,20.50.88.238,59406,443,641,128,24,255,601,0.871,10.129.9.167:59406-20.50.88.238:443-TCP
1777297842.894267,traffic,in,TCP,20.50.88.238,10.129.9.167,443,59406,143,106,24,16384,103,0.452,10.129.9.167:59406-20.50.88.238:443-TCP
1777297842.894725,traffic,in,TCP,10.129.9.167,20.50.88.238,59406,443,40,128,16,255,0,0.458,10.129.9.167:59406-20.50.88.238:443-TCP
1777297842.895226,traffic,in,TCP,20.50.88.238,10.129.9.167,443,59406,40,106,16,16382,0,0.501,10.129.9.167:59406-20.50.88.238:443-TCP
1777297842.895522,traffic,in,TCP,20.50.88.238,10.129.9.167,443,59406,370,106,24,16382,330,0.296,10.129.9.167:59406-20.50.88.238:443-TCP
1777297842.89579,traffic,in,TCP,20.50.88.238,10.129.9.167,443,59406,67,106,24,16382,27,0.268,10.129.9.167:59406-20.50.88.238:443-TCP
1777297842.895953,traffic,in,TCP,10.129.9.167,20.50.88.238,59406,443,40,128,16,254,0,0.163,10.129.9.167:59406-20.50.88.238:443-TCP
